Case 1: Learning rate = 0.001
Sess 84/10000 1024 iters: loss 0.058398
Sess 85/10000 1024 iters: loss 0.062789
Sess 86/10000 1024 iters: loss 0.074403
Sess 87/10000 1024 iters: loss 0.056645
Sess 88/10000 1024 iters: loss 0.060573
Sess 89/10000 1024 iters: loss 0.060087
Sess 90/10000 1024 iters: loss 0.053405
Sess 91/10000 1024 iters: loss 0.058827
Sess 92/10000 1024 iters: loss 0.044743
Sess 93/10000 1024 iters: loss 0.033473
Sess 94/10000 1024 iters: loss 0.055077
Sess 95/10000 1024 iters: loss 0.059567
Sess 96/10000 1024 iters: loss 0.047323
Sess 97/10000 1024 iters: loss 0.066358
Sess 98/10000 1024 iters: loss 0.070474
Sess 99/10000 1024 iters: loss 0.086383
Sess 100/10000 1024 iters: loss 0.059942
